Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1;corticofugal tract and corona radiata;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
3;Subthalamic nucleus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
4;Molecular cell layer of the cerebellum;37998;37997.791763;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
5;Cerebellum, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
6;alveus of the hippocampus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
7;inferior cerebellar peduncle;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
10;Cingulate area 2;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
32;Entopeduncular nucleus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
33;Ventricular system, unspecified;15032;15032.093445;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
34;medial lemniscus, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
35;facial nerve, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
36;anterior commissure, anterior limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
37;anterior commissure, posterior limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
38;ventral hippocampal commissure;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
40;Septal region;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
41;optic nerve;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
42;optic tract and optic chiasm;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
43;Pineal gland;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
45;Spinal cord;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
46;commissure of the superior colliculus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
47;Brainstem, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
48;Hypothalamic region, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
50;Superficial gray layer of the superior colliculus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
51;Periaqueductal gray;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
52;fornix;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
53;mammillotegmental tract;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
54;commissural stria terminalis;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
55;Deeper layers of the superior colliculus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
56;Periventricular gray;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
57;genu of the facial nerve;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
58;Pontine nuclei;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
59;fimbria of the hippocampus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
60;fasciculus retroflexus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
61;stria medullaris thalami;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
62;stria terminalis;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
63;posterior commissure;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
64;Glomerular layer of the accessory olfactory bulb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
65;Glomerular layer of the olfactory bulb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
66;Olfactory bulb, unspecified;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
67;corpus callosum and associated subcortical white matter;85599;85599.421005;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
68;brachium of the superior colliculus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
