Region name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;;
Cortex;11643745;11643745;pixels;4;40000;40000;pixels;0.003435;;;;;;;;;;;;;;;
Fibretracts;376436;376435.812500;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Hippo;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Olfactory;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Hypothalamus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Striatum_Pallidum_BasalForebrain;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Amygdala;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Mid_Hind_Medulla;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Thalamus;54305;54305.062500;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Cerebellum;904688;904688;pixels;1;90000;90000;pixels;0.099482;;;;;;;;;;;;;;;
VentricularSystem;23651;23651.109375;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
SpinalCord;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
InnerEar;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
